Comparing first contributions using the median of creationDate
[p-value,identical,delta,eff_size, summary(treatment | control)]
1.873e-06,False,-0.1691391,small, Min=0;Median=225.000;Mean=456.938;Max=6828;stdDev=692.853 | Min=6;Median=320.000;Mean=582.384;Max=17140;stdDev=1042.672

Comparing first contributions using the median of nWD
[p-value,identical,delta,eff_size, summary(treatment | control)]
2.627e-06,False,0.166704,small, Min=6;Median=320.000;Mean=582.611;Max=17140;stdDev=1044.521 | Min=0;Median=226.000;Mean=457.185;Max=6828;stdDev=691.732

Comparing first contributions using the median of stars
[p-value,identical,delta,eff_size, summary(treatment | control)]
2.2e-16,False,0.5762712,large, Min=26;Median=476.000;Mean=787.858;Max=17140;stdDev=1146.010 | Min=0;Median=176.000;Mean=252.710;Max=4385;stdDev=348.843

Comparing first contributions using the median of subs
[p-value,identical,delta,eff_size, summary(treatment | control)]
2.2e-16,False,0.5642882,large, Min=16;Median=462.000;Mean=777.161;Max=17140;stdDev=1142.531 | Min=0;Median=169.000;Mean=263.367;Max=4385;stdDev=375.265

