Comparing first contributions using the median of creationDate
[p-value,identical,delta,eff_size, summary(treatment | control)]
5.543e-06,False,-0.2078616,small, Min=5;Median=273.500;Mean=546.862;Max=6828;stdDev=810.523 | Min=40;Median=411.500;Mean=722.597;Max=17140;stdDev=1252.966

Comparing first contributions using the median of nWD
[p-value,identical,delta,eff_size, summary(treatment | control)]
4.893e-06,False,0.2090605,small, Min=40;Median=416.500;Mean=725.245;Max=17140;stdDev=1256.458 | Min=5;Median=273.500;Mean=545.328;Max=6828;stdDev=808.220

Comparing first contributions using the median of stars
[p-value,identical,delta,eff_size, summary(treatment | control)]
2.2e-16,False,0.6387873,large, Min=38;Median=594.500;Mean=979.151;Max=17140;stdDev=1376.921 | Min=5;Median=197.000;Mean=293.009;Max=3446;stdDev=344.640

Comparing first contributions using the median of subs
[p-value,identical,delta,eff_size, summary(treatment | control)]
2.2e-16,False,0.6137284,large, Min=35;Median=570.500;Mean=966.481;Max=17140;stdDev=1375.455 | Min=5;Median=197.000;Mean=305.600;Max=3446;stdDev=373.898

