Comparing first contributions using the median of creationDate
[p-value,identical,delta,eff_size, summary(treatment | control)]
0.00121,False,-0.1821653,small, Min=0;Median=173.500;Mean=306.910;Max=3108;stdDev=416.512 | Min=29;Median=220.000;Mean=383.877;Max=4385;stdDev=540.702

Comparing first contributions using the median of nWD
[p-value,identical,delta,eff_size, summary(treatment | control)]
0.001025,False,0.1848158,small, Min=29;Median=221.000;Mean=385.924;Max=4385;stdDev=542.869 | Min=0;Median=173.500;Mean=305.608;Max=3108;stdDev=414.752

Comparing first contributions using the median of stars
[p-value,identical,delta,eff_size, summary(treatment | control)]
2.2e-16,False,0.504425,large, Min=14;Median=304.500;Mean=491.400;Max=4000;stdDev=544.214 | Min=0;Median=130.500;Mean=201.127;Max=4385;stdDev=362.862

Comparing first contributions using the median of subs
[p-value,identical,delta,eff_size, summary(treatment | control)]
2.2e-16,False,0.4833783,large, Min=16;Median=297.500;Mean=484.957;Max=4000;stdDev=543.990 | Min=0;Median=132.500;Mean=207.509;Max=4385;stdDev=368.171

