owner/repo,lang,label,wilcoxon_pvalue,identical,delta,eff_size,invalid,summary_treatment,summary_control
Airblader/i3,C,support,7.257E-01,True,0.01132498,negligible,False,Min=0;Median=0.000;Mean=0.087;Max=2;std_dev=0.296,Min=0;Median=0.000;Mean=0.082;Max=2;std_dev=0.310
ARMmbed/mbedtls,C,help wanted,4.478E-08,False,0.4857143,large,False,Min=0;Median=1.000;Mean=0.958;Max=8;std_dev=1.150,Min=0;Median=0.000;Mean=0.100;Max=1;std_dev=0.304
audacity/audacity,C,good first issue,3.238E-09,False,0.3783974,medium,False,Min=0;Median=1.000;Mean=1.333;Max=6;std_dev=1.541,Min=0;Median=0.000;Mean=0.411;Max=4;std_dev=0.693
betaflight/betaflight,C,Help Wanted,4.208E-09,False,0.6105689,large,False,Min=0;Median=1.000;Mean=1.472;Max=6;std_dev=1.250,Min=0;Median=0.000;Mean=0.250;Max=3;std_dev=0.622
borgbackup/borg,C,help wanted,,,,,True,,
cinder/Cinder,C,help wanted,3.894E-01,False,-0.03558052,negligible,False,Min=0;Median=0.000;Mean=0.276;Max=2;std_dev=0.528,Min=0;Median=0.000;Mean=0.315;Max=3;std_dev=0.549
cleanflight/cleanflight,C,Support,3.077E-09,False,0.3512626,medium,False,Min=0;Median=0.000;Mean=1.003;Max=8;std_dev=1.529,Min=0;Median=0.000;Mean=0.125;Max=2;std_dev=0.396
cloudius-systems/osv,C,easy,9.891E-01,True,-0.0006281407,negligible,False,Min=0;Median=0.000;Mean=0.121;Max=2;std_dev=0.341,Min=0;Median=0.000;Mean=0.203;Max=3;std_dev=0.647
collectd/collectd,C,help wanted,3.174E-04,False,0.3157213,small,False,Min=0;Median=1.000;Mean=1.152;Max=5;std_dev=1.163,Min=0;Median=0.000;Mean=0.535;Max=3;std_dev=0.797
curl/curl,C,help wanted,2.200E-16,False,0.7510907,large,False,Min=0;Median=2.000;Mean=2.678;Max=14;std_dev=1.984,Min=0;Median=0.000;Mean=0.455;Max=4;std_dev=0.766
domoticz/domoticz,C,help wanted,1.368E-01,False,-0.09451256,negligible,False,Min=0;Median=1.000;Mean=1.144;Max=4;std_dev=1.120,Min=0;Median=1.000;Mean=1.357;Max=5;std_dev=1.222
EtchedPixels/FUZIX,C,help wanted,4.324E-01,False,0.02448556,negligible,False,Min=0;Median=0.000;Mean=0.126;Max=2;std_dev=0.387,Min=0;Median=0.000;Mean=0.107;Max=3;std_dev=0.399
facebook/zstd,C,help wanted,4.878E-08,False,0.3325059,medium,False,Min=0;Median=1.000;Mean=0.950;Max=7;std_dev=1.015,Min=0;Median=0.000;Mean=0.464;Max=8;std_dev=1.004
flatpak/flatpak,C,help wanted,,,,,True,,
fontforge/fontforge,C,bite-sized,,,,,True,,
FreeRDP/FreeRDP,C,trivial,,,,,True,,
gluster/glusterfs,C,starter task,5.404E-04,False,0.1088235,negligible,False,Min=0;Median=0.000;Mean=0.328;Max=6;std_dev=0.764,Min=0;Median=0.000;Mean=0.125;Max=2;std_dev=0.359
greenplum-db/gpdb,C,community,1.333E-03,False,0.1957968,small,False,Min=0;Median=1.000;Mean=1.276;Max=20;std_dev=2.060,Min=0;Median=0.000;Mean=0.680;Max=4;std_dev=0.841
h2o/h2o,C,help wanted,,,,,True,,
HandBrake/HandBrake,C,Help Wanted,1.249E-02,False,0.1310318,negligible,False,Min=0;Median=0.000;Mean=0.462;Max=3;std_dev=0.645,Min=0;Median=0.000;Mean=0.321;Max=3;std_dev=0.625
i3/i3,C,good first issue,3.589E-01,False,-0.05633482,negligible,False,Min=0;Median=0.500;Mean=0.731;Max=4;std_dev=0.892,Min=0;Median=1.000;Mean=0.862;Max=6;std_dev=1.058
ImageMagick/ImageMagick,C,up for grabs,2.279E-02,False,0.1993377,small,False,Min=0;Median=0.000;Mean=0.507;Max=5;std_dev=0.768,Min=0;Median=0.000;Mean=0.200;Max=1;std_dev=0.406
iNavFlight/inav,C,Support,8.313E-16,False,0.4988855,large,False,Min=0;Median=1.000;Mean=1.079;Max=5;std_dev=1.091,Min=0;Median=0.000;Mean=0.215;Max=2;std_dev=0.476
irssi/irssi,C,help wanted,,,,,True,,
jiangwenyuan/nuster,C,help wanted,2.805E-01,False,-0.0295858,negligible,False,Min=0;Median=0.000;Mean=0.000;Max=0;std_dev=0.000,Min=0;Median=0.000;Mean=0.030;Max=1;std_dev=0.170
johnkerl/miller,C,help wanted,,,,,True,,
libgit2/libgit2,C,up for grabs,3.767E-02,False,0.1177977,negligible,False,Min=0;Median=1.000;Mean=1.062;Max=5;std_dev=1.077,Min=0;Median=1.000;Mean=0.821;Max=4;std_dev=0.916
libretro/RetroArch,C,prs welcome,2.200E-16,False,0.5975011,large,False,Min=0;Median=1.000;Mean=1.294;Max=7;std_dev=1.260,Min=0;Median=0.000;Mean=0.161;Max=4;std_dev=0.500
libvips/libvips,C,help wanted,3.469E-12,False,0.2014521,small,False,Min=0;Median=0.000;Mean=0.284;Max=3;std_dev=0.532,Min=0;Median=0.000;Mean=0.051;Max=2;std_dev=0.234
lxc/lxc,C,Easy,1.136E-04,False,0.2181672,small,False,Min=0;Median=1.000;Mean=0.866;Max=5;std_dev=0.965,Min=0;Median=0.000;Mean=0.525;Max=6;std_dev=0.884
MarlinFirmware/Marlin,C,help wanted,2.200E-16,False,0.7332148,large,False,Min=0;Median=4.000;Mean=4.799;Max=19;std_dev=2.926,Min=0;Median=1.000;Mean=1.382;Max=7;std_dev=1.464
neomutt/neomutt,C,hacktoberfest,3.275E-02,False,0.1785846,small,False,Min=0;Median=0.000;Mean=0.580;Max=6;std_dev=0.890,Min=0;Median=0.000;Mean=0.268;Max=2;std_dev=0.501
netblue30/firejail,C,help wanted,5.536E-01,True,0.0406751,negligible,False,Min=0;Median=1.000;Mean=0.860;Max=4;std_dev=0.936,Min=0;Median=1.000;Mean=0.807;Max=5;std_dev=0.981
netdata/netdata,C,help wanted,2.200E-16,False,0.7350158,large,False,Min=0;Median=2.000;Mean=1.871;Max=14;std_dev=1.952,Min=0;Median=0.000;Mean=0.000;Max=0;std_dev=0.000
nmap/nmap,C,good first issue,2.200E-16,False,0.4571542,medium,False,Min=0;Median=1.000;Mean=1.032;Max=4;std_dev=1.029,Min=0;Median=0.000;Mean=0.261;Max=3;std_dev=0.632
numpy/numpy,C,good first issue,2.200E-16,False,0.8061466,large,False,Min=0;Median=3.000;Mean=3.403;Max=20;std_dev=2.831,Min=0;Median=0.000;Mean=0.394;Max=3;std_dev=0.676
obsproject/obs-studio,C,Good first issue,2.200E-16,False,0.5764984,large,False,Min=0;Median=3.000;Mean=3.183;Max=10;std_dev=2.220,Min=0;Median=1.000;Mean=1.161;Max=6;std_dev=1.194
OpenSC/OpenSC,C,help wanted,4.178E-06,False,0.216898,small,False,Min=0;Median=0.000;Mean=0.475;Max=5;std_dev=0.732,Min=0;Median=0.000;Mean=0.167;Max=2;std_dev=0.394
openssl/openssl,C,help wanted,2.200E-16,False,0.5361451,large,False,Min=0;Median=3.000;Mean=3.344;Max=10;std_dev=2.133,Min=0;Median=1.000;Mean=1.466;Max=8;std_dev=1.512
osmc/osmc,C,help wanted,,,,,True,,
