owner/repo,lang,label,wilcoxon_pvalue,identical,delta,eff_size,invalid,summary_treatment,summary_control
Airblader/i3,C,support,7.257E-01,True,0.01132498,negligible,False,Min=0;Median=0.000;Mean=0.087;Max=2;std_dev=0.296,Min=0;Median=0.000;Mean=0.082;Max=2;std_dev=0.310
ARMmbed/mbedtls,C,good first issue,3.627E-12,False,0.3563535,medium,False,Min=0;Median=1.000;Mean=1.364;Max=8;std_dev=1.375,Min=0;Median=0.000;Mean=0.595;Max=3;std_dev=0.827
audacity/audacity,C,good first issue,3.238E-09,False,0.3783974,medium,False,Min=0;Median=1.000;Mean=1.333;Max=6;std_dev=1.541,Min=0;Median=0.000;Mean=0.411;Max=4;std_dev=0.693
borgbackup/borg,C,good first issue,,,,,True,,
cleanflight/cleanflight,C,Support,3.077E-09,False,0.3512626,medium,False,Min=0;Median=0.000;Mean=1.003;Max=8;std_dev=1.529,Min=0;Median=0.000;Mean=0.125;Max=2;std_dev=0.396
cloudius-systems/osv,C,easy,9.891E-01,True,-0.0006281407,negligible,False,Min=0;Median=0.000;Mean=0.121;Max=2;std_dev=0.341,Min=0;Median=0.000;Mean=0.203;Max=3;std_dev=0.647
collectd/collectd,C,good first issue,2.329E-04,False,0.3130154,small,False,Min=0;Median=1.000;Mean=1.155;Max=5;std_dev=1.164,Min=0;Median=0.000;Mean=0.543;Max=3;std_dev=0.808
facebook/zstd,C,good first issue,5.022E-09,False,0.3322595,medium,False,Min=0;Median=1.000;Mean=1.027;Max=7;std_dev=1.024,Min=0;Median=0.000;Mean=0.536;Max=8;std_dev=0.989
flatpak/flatpak,C,Hacktoberfest,7.545E-01,True,-0.02055457,negligible,False,Min=0;Median=0.000;Mean=0.617;Max=5;std_dev=0.865,Min=0;Median=0.000;Mean=0.659;Max=5;std_dev=0.922
fontforge/fontforge,C,bite-sized,,,,,True,,
FreeRDP/FreeRDP,C,trivial,,,,,True,,
gluster/glusterfs,C,starter task,5.404E-04,False,0.1088235,negligible,False,Min=0;Median=0.000;Mean=0.328;Max=6;std_dev=0.764,Min=0;Median=0.000;Mean=0.125;Max=2;std_dev=0.359
greenplum-db/gpdb,C,community,1.333E-03,False,0.1957968,small,False,Min=0;Median=1.000;Mean=1.276;Max=20;std_dev=2.060,Min=0;Median=0.000;Mean=0.680;Max=4;std_dev=0.841
i3/i3,C,good first issue,3.589E-01,False,-0.05633482,negligible,False,Min=0;Median=0.500;Mean=0.731;Max=4;std_dev=0.892,Min=0;Median=1.000;Mean=0.862;Max=6;std_dev=1.058
ImageMagick/ImageMagick,C,up for grabs,2.279E-02,False,0.1993377,small,False,Min=0;Median=0.000;Mean=0.507;Max=5;std_dev=0.768,Min=0;Median=0.000;Mean=0.200;Max=1;std_dev=0.406
